ID,Warehouse_block,Mode_of_Shipment,Customer_id,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
102,5,Ship,X35953285,5,5,227,4,low,M,53,2624,1
103,4,Ship,K25055142,2,1,213,3,low,M,29,2732,1
104,5,Ship,L59132111,5,1,144,4,low,M,37,1658,1
105,1,Ship,E45945255,3,3,218,3,low,M,3,2255,1
106,2,Ship,D55266308,4,2,144,3,medium,M,59,1588,1
107,3,Ship,P19086542,3,1,238,3,low,M,17,2624,1
108,5,Ship,O18522706,4,5,216,3,high,M,26,2053,1
109,4,Ship,C15531142,4,5,238,3,high,F,55,3257,1
110,5,Ship,S53896506,4,1,141,3,medium,M,47,1250,1
111,1,Road,I26434773,3,1,158,2,low,M,2,1284,1
112,2,Road,M19881172,4,2,239,3,low,F,65,3679,1
113,3,Road,B47210193,4,3,175,2,low,M,25,1816,1
114,5,Road,D51356916,3,2,263,3,low,M,41,2817,1
115,4,Road,Q44034643,3,5,168,2,high,M,50,1616,1
116,5,Road,S18369468,3,4,176,3,high,M,36,1779,1
117,1,Road,E12996136,4,1,150,4,high,M,60,1024,1
118,2,Road,W42242355,4,3,265,2,medium,F,31,2326,1
119,3,Road,E54676163,2,5,263,3,low,F,5,2947,1
120,5,Road,L21547495,5,1,145,3,low,M,20,1387,1
121,4,Road,A58204351,4,2,183,3,low,F,33,2741,1
122,5,Road,X19402964,3,3,205,3,medium,F,19,2167,1
123,1,Road,D59898287,4,2,160,3,low,M,64,1714,1
124,2,Road,F49100601,3,3,252,2,medium,F,48,2102,1
125,3,Road,E33507409,5,5,222,3,low,M,10,2280,1
126,5,Road,R30022850,3,3,203,2,low,M,25,,1
127,4,Road,W45980157,4,5,220,3,medium,M,40,3516,1
128,5,Road,P55415485,3,3,147,4,low,F,60,1722,1
129,1,Road,Y12417130,4,4,200,4,medium,M,16,2060,1
130,2,Road,T29735589,4,5,224,4,medium,M,21,2026,1
131,3,Road,G44473261,3,5,179,2,low,F,17,1364,1
132,5,Road,V42561385,3,4,144,3,low,M,50,1865,1
133,4,Flight,B31883349,5,2,247,3,low,M,17,3889,1
134,5,Flight,C10666550,5,4,280,6,medium,F,51,3582,1
135,1,Flight,N45913613,3,3,168,2,medium,F,1,1829,1
136,2,Flight,X14260197,3,5,157,3,medium,F,4,1889,1
137,3,Flight,K34007717,3,3,189,4,medium,F,51,2208,1
138,5,Flight,L19948137,3,5,162,2,medium,M,7,1739,1
139,4,Flight,E27373255,4,1,207,5,low,M,48,2399,1
140,5,Flight,D33951679,5,1,237,2,low,F,10,3860,1
141,1,Flight,P39100182,4,4,264,3,high,M,59,2020,1
142,2,Flight,O21761735,5,4,149,3,low,M,51,1645,1
143,3,Flight,C18173595,5,5,162,3,low,M,41,1462,1
144,5,Flight,S16732623,2,1,205,4,medium,F,63,2156,1
145,4,Flight,I35495197,2,1,158,3,medium,F,51,1540,1
146,5,Flight,M52371581,2,2,248,2,low,M,46,3707,1
147,1,Flight,B21314767,3,5,191,3,low,M,23,3750,1
148,2,Flight,D52698022,4,3,146,4,medium,F,24,1844,1
149,3,Flight,Q37093447,3,3,135,3,low,M,56,1490,1
150,5,Flight,S38134489,5,1,149,3,low,M,40,1062,1
151,4,Flight,E44327578,4,4,220,2,medium,F,7,2551,1
152,5,Flight,W12224168,5,3,98,5,medium,M,44,1269,1
153,1,Flight,E19394547,3,4,97,4,low,M,32,1238,1
154,2,Flight,L14661540,3,3,183,2,low,M,53,3932,1
155,3,Ship,A29620499,3,3,162,3,medium,F,8,1869,1
156,5,Ship,X53463532,5,1,114,4,low,F,47,1443,1
157,4,Ship,D41683950,6,3,275,5,low,M,41,2491,1
158,5,Ship,F51020357,3,2,203,2,medium,F,39,3845,1
159,1,Ship,E20067028,5,5,205,2,high,M,65,3671,1
160,2,Ship,R24763426,3,3,149,3,low,F,63,1946,1
161,3,Ship,W46933619,2,2,112,4,medium,M,56,1138,1
162,5,Ship,P33866820,3,1,207,3,medium,F,56,3482,1
163,4,Ship,Y54912019,4,1,261,4,low,F,58,3427,1
164,5,Ship,T30952338,5,2,274,3,medium,M,6,3375,1
165,1,Ship,G39285669,3,5,141,2,low,M,52,1692,1
166,2,Ship,V28458246,3,3,166,4,medium,F,17,1498,1
167,3,Ship,B16661315,5,2,141,3,high,F,34,1020,1
168,5,Ship,C30929581,4,5,152,3,low,M,43,1709,1
169,4,Ship,N49015128,4,2,250,3,low,F,53,2478,1
170,5,Ship,X41097478,4,3,161,3,medium,F,28,1809,1
171,1,Ship,K37529933,4,3,185,3,medium,F,10,2263,1
172,2,Ship,L12141338,4,4,176,4,high,F,52,1096,1
173,3,Ship,E32614415,3,4,148,3,low,M,56,1550,1
174,5,Ship,D48155019,3,2,270,3,low,F,63,2751,1
175,4,Ship,P20739127,3,3,242,3,low,F,51,3935,1
176,5,Ship,O45754923,4,4,150,2,medium,M,3,1285,1
177,1,Ship,C14129747,4,5,192,3,high,M,20,3872,1
178,2,Ship,S58340971,4,5,116,3,medium,M,54,1314,1
179,3,Ship,I30008134,3,3,192,3,medium,F,2,3995,1
180,5,Ship,M35169163,5,5,255,4,medium,M,3,3440,1
181,4,Ship,B52591132,4,1,161,7,medium,F,18,1294,1
182,5,Ship,D32894804,4,5,157,3,low,M,20,1487,1
183,1,Ship,Q25557230,3,2,164,10,high,F,28,1940,1
184,2,Ship,S54984834,3,5,162,7,medium,F,16,1052,1
185,3,Ship,E11412656,3,3,146,2,low,M,50,1486,1
186,5,Ship,W46214691,3,2,209,3,medium,M,54,3001,1
187,4,Ship,E25714025,5,4,134,2,medium,F,55,1386,1
188,5,Ship,L56721952,2,1,222,2,medium,M,5,3778,1
189,1,Ship,A58665847,2,5,139,3,low,F,27,1233,1
190,2,Ship,X12614797,2,4,134,3,low,F,42,1415,1
191,3,Ship,D59311612,2,5,130,3,low,M,16,1092,1
192,5,Ship,F12435008,2,5,133,3,low,F,62,1596,1
193,4,Ship,E45257873,2,4,140,3,low,F,7,1411,1
194,5,Ship,R25582267,2,2,158,3,low,M,28,1968,1
195,1,Ship,W41046187,4,2,270,4,low,F,46,1736,1
196,2,Ship,P46202062,2,5,140,3,low,F,30,1030,1
197,3,Ship,Y45430540,2,2,135,3,low,M,15,1339,1
198,5,Ship,T58889821,2,3,136,3,low,F,19,1568,1
199,4,Ship,G12738585,2,3,142,3,medium,F,38,7640,1
200,5,Ship,V36703517,,2,154,3,medium,M,38,7846,1
201,1,Ship,B27331081,2,3,139,3,low,M,9,1471,1
202,2,Ship,C41006450,2,3,160,3,low,F,43,1251,1
203,3,Ship,N15150845,2,4,134,3,low,M,58,1067,1
204,5,Ship,X50109167,5,3,161,5,high,M,48,1883,1
205,4,Ship,K48041960,2,5,155,3,low,M,23,1602,1
206,5,Ship,L36299091,2,3,145,3,medium,F,24,7588,1
207,1,Ship,E36547558,2,2,157,3,low,M,1,1477,1
208,2,Ship,D40201038,2,2,160,3,low,M,48,1691,1
209,3,Ship,P40539866,2,4,152,3,low,M,55,1498,1
210,5,Ship,O23663692,2,5,148,3,high,F,11,1502,1
211,4,Ship,C11680753,2,1,127,3,low,F,15,1522,1
212,5,Ship,S49566164,2,5,154,3,low,F,21,1113,1
213,1,Ship,I25018690,2,5,127,3,low,M,44,1341,1
214,2,Ship,M30511175,2,5,160,3,medium,F,31,7401,1
215,3,Ship,B57985378,2,4,129,3,low,F,48,1219,1
216,5,Ship,D33662273,2,5,158,3,low,F,40,1722,1
217,4,Ship,Q11240308,4,3,185,3,medium,M,3,3131,1
218,5,Ship,S11721362,4,4,176,4,high,F,63,1293,1
219,1,Ship,E40312223,3,4,148,3,low,M,37,1523,1
220,2,Ship,W29963551,3,5,270,3,low,M,60,3885,1
221,3,Ship,E29247730,3,4,242,3,low,M,29,2381,1
222,5,Ship,L35318026,4,3,150,2,medium,M,31,1588,1
223,4,Ship,A49380210,4,2,192,3,high,M,4,2061,1
224,5,Ship,X45052426,4,5,116,3,medium,F,9,1314,1
225,1,Ship,D32078249,3,4,192,3,medium,F,31,3331,1
226,2,Ship,F38670242,5,4,255,4,medium,F,38,2771,1
227,3,Ship,E50159862,4,3,161,7,medium,M,63,1496,1
228,5,Ship,R34756749,4,2,157,3,low,F,48,1393,1
229,4,Ship,W21201687,3,2,164,10,high,M,14,1375,1
230,5,Ship,P22073456,3,3,162,7,medium,F,42,1278,1
231,1,Ship,Y31526367,3,1,146,2,low,F,54,1528,1
232,2,Ship,T14108382,3,4,209,3,medium,F,60,2240,1
233,3,Ship,G50549971,5,5,134,2,medium,M,53,1088,1
234,5,Ship,V26434090,2,1,222,2,medium,M,58,3626,1
235,4,Ship,B30933487,2,1,139,3,low,F,39,1582,1
236,5,Ship,C53100577,2,2,134,3,low,M,38,1352,1
237,1,Ship,N45177370,2,3,130,3,low,F,48,1801,1
238,2,Ship,X16983190,2,2,133,3,low,M,5,1268,1
239,3,Ship,K20954598,2,3,140,3,low,F,23,1372,1
240,5,Ship,L13053717,2,3,158,3,low,M,10,1515,1
241,4,Ship,E46504646,4,5,270,4,low,M,65,1818,1
242,5,Ship,D34841992,2,4,140,3,low,F,33,1278,1
243,1,Ship,P13629267,2,2,135,3,low,M,58,1734,1
244,2,Ship,O51151148,2,4,136,3,low,M,43,1958,1
245,3,Ship,C43742272,2,1,142,3,medium,F,8,6064,1
246,5,Ship,S10299386,2,4,154,3,medium,F,48,7684,1
247,4,Ship,I11666043,2,3,139,3,low,F,3,1788,1
248,5,Road,M34704586,2,4,160,3,low,F,50,1030,1
249,1,Road,B43128935,2,2,134,3,low,F,38,1530,1
250,2,Road,D17475790,5,5,161,5,high,F,54,1511,1
251,3,Road,Q33992799,2,3,155,3,low,F,45,1639,1
252,5,Road,S27014041,2,2,145,3,medium,F,5,6102,1
253,4,Road,E15572386,2,1,157,3,low,M,58,1930,1
254,5,Road,W47127944,2,5,160,3,low,F,19,1399,1
255,1,Road,E38497818,2,2,152,3,low,F,61,1800,1
256,2,Road,L46092179,2,2,148,3,high,F,35,1349,1
257,3,Road,A14038353,2,2,127,3,low,M,13,1128,1
258,5,Road,X35664522,2,2,129,3,medium,F,22,6614,1
259,4,Road,D27732286,2,3,158,3,low,F,13,1245,1
260,5,Road,F36269313,2,4,147,3,low,M,5,1920,1
261,1,Road,E21359437,2,5,159,3,low,F,49,1621,1
262,2,Road,R16868971,2,3,151,3,low,F,23,1930,1
263,3,Road,W20746683,3,1,294,4,low,F,52,1089,1
264,5,Road,P43862079,3,2,226,2,medium,M,45,1446,1
265,4,Road,Y27963227,5,3,271,5,high,M,9,1813,1
266,5,Road,T55358837,7,2,203,5,medium,F,61,1856,1
267,1,Road,G10452326,2,3,264,4,low,F,10,1648,1
268,2,Road,V12790456,4,1,258,3,medium,M,36,2211,1
269,3,Road,B32311908,3,5,241,3,low,F,21,3078,1
270,5,Flight,C22877342,4,5,208,3,medium,M,23,2056,1
271,4,Flight,N17668653,3,2,209,5,medium,F,12,3054,1
272,5,Flight,X41185103,5,1,182,2,medium,F,23,2707,1
273,1,Flight,K22305396,4,5,148,2,medium,F,43,1087,1
274,2,Flight,L25947884,2,3,183,2,medium,F,52,3199,1
275,3,Flight,E55285039,3,5,229,6,medium,M,22,2717,1
276,5,Flight,D56826686,5,5,115,5,low,F,26,1692,1
277,4,Flight,P58334313,4,2,136,3,low,F,65,1962,1
278,5,Flight,O54005621,4,4,212,3,low,M,21,3307,1
279,1,Flight,C37369177,4,3,171,3,low,F,24,1304,1
280,2,Flight,S11333762,3,1,151,2,low,M,60,1925,1
281,3,Flight,I25294455,3,1,205,3,medium,M,39,3062,1
282,5,Flight,M56908726,5,4,147,3,medium,M,23,1132,1
283,4,Flight,B49427175,3,3,155,3,low,F,29,1712,1
284,5,Flight,D13846602,5,4,165,3,low,F,20,1150,1
285,1,Flight,Q37277182,5,5,230,3,low,F,32,3249,1
286,2,Flight,S49485812,2,4,181,4,medium,M,13,2309,1
287,3,Flight,E59328559,5,3,234,2,low,F,55,3308,1
288,5,Flight,W43923411,4,4,149,3,low,M,34,1977,1
289,4,Flight,E29965201,5,5,156,2,low,M,44,1561,1
290,5,Flight,L10331462,4,2,172,3,medium,F,59,1858,1
291,1,Flight,A57386905,4,4,270,3,low,M,12,3279,1
292,2,Ship,X40993287,4,1,206,3,medium,M,23,3807,1
293,3,Ship,D13072575,4,3,211,4,medium,M,40,3106,1
294,5,Ship,F41092490,3,2,136,4,low,M,62,1090,1
295,4,Ship,E33514131,5,1,186,2,high,F,52,3981,1
296,5,Ship,R34532274,3,1,202,2,medium,M,62,3398,1
297,1,Ship,W20068379,4,2,183,3,medium,F,12,3646,1
298,2,Ship,P26929282,4,4,232,2,low,M,36,2861,1
299,3,Ship,Y47028479,4,2,147,4,medium,M,52,1129,1
300,5,Ship,T45248699,4,3,136,3,medium,M,20,1531,1
301,4,Ship,G18560219,5,3,127,3,low,F,43,1446,1
302,5,Ship,V27952123,4,5,202,2,medium,M,35,3695,1
303,1,Ship,B45529589,3,4,241,2,low,M,57,3671,1
304,2,Ship,C34491784,4,3,222,2,medium,M,55,3833,1
305,3,Ship,N57225157,3,2,183,4,medium,F,12,2777,1
306,5,Ship,X21045280,4,4,249,3,medium,F,36,3769,1
307,4,Ship,K49908780,3,1,243,4,high,M,59,3838,1
308,5,Ship,L53145834,3,3,163,3,medium,M,9,1257,1
309,1,Ship,E36233625,4,2,165,2,high,M,11,1596,1
310,2,Ship,D42567719,5,5,266,3,medium,F,53,3089,1
311,3,Ship,P22779211,3,4,193,2,medium,M,48,3909,1
312,5,Ship,O34894389,3,2,154,3,low,F,56,1136,1
313,4,Ship,C36368949,3,3,140,3,medium,M,51,1046,1
314,5,Ship,S12564392,4,3,272,3,medium,M,38,3705,1
315,1,Ship,I17808609,4,2,143,6,medium,M,20,1654,1
316,2,Ship,M19955026,4,2,138,3,low,F,30,1805,1
317,3,Ship,B18049173,4,2,238,2,high,M,17,3358,1
318,5,Ship,D21901411,4,5,273,4,medium,F,31,2373,1
319,4,Ship,Q26235482,,1,200,2,medium,M,27,2551,1
320,5,Ship,S13879597,4,5,213,4,low,M,39,2381,1
321,1,Ship,E44469260,3,4,224,2,medium,F,15,2701,1
322,2,Ship,W19361450,4,5,141,3,medium,M,12,1672,1
323,3,Ship,E27586218,3,3,150,3,low,M,46,1040,1
324,5,Ship,L13594380,3,1,192,2,low,M,33,2818,1
325,4,Ship,A15154924,5,1,279,4,medium,F,24,3440,1
326,5,Ship,X30643248,3,4,246,3,medium,M,30,3748,1
327,1,Ship,D27488860,3,4,173,3,medium,M,52,1587,1
328,2,Ship,F36738339,4,4,233,4,medium,F,59,2358,1
329,3,Ship,E20016995,5,1,274,2,medium,M,24,2423,1
330,,Ship,R57478954,4,5,243,4,medium,F,41,2782,1
331,4,Ship,W55723127,3,4,197,3,medium,F,56,3427,1
332,5,Ship,P19341037,4,3,140,3,high,F,46,1072,1
333,1,Ship,Y41010897,3,5,215,3,medium,F,22,2585,1
334,2,Ship,T46004446,3,4,211,3,medium,M,8,3710,1
335,3,Ship,G15824556,4,2,220,5,low,M,33,2854,1
336,5,Ship,V13509259,3,1,194,4,low,M,64,2026,1
337,4,Ship,B19643332,5,1,262,3,medium,F,58,3599,1
338,5,Ship,C13681316,4,4,201,2,low,F,1,3147,1
339,1,Ship,N16439334,3,5,261,3,medium,M,15,2989,1
340,2,Ship,X43407556,4,4,191,6,low,F,60,3425,1
341,3,Ship,K40473610,2,5,255,5,medium,F,53,3775,1
342,5,Ship,L57102590,3,2,169,2,high,M,30,1698,1
343,4,Ship,E42391674,4,5,162,2,medium,M,64,1918,1
344,5,Ship,D32547259,2,5,248,6,low,F,62,2750,1
345,1,Ship,P32859667,5,3,197,4,low,F,2,2222,1
346,2,Ship,O16069076,5,1,264,3,low,M,6,2882,1
347,3,Ship,C24552245,5,5,260,2,medium,F,55,2791,1
348,5,Ship,S41646339,5,3,186,2,medium,F,58,2259,1
349,4,Ship,I52202805,4,5,233,4,low,F,44,2551,1
350,5,Ship,M53177264,5,1,161,3,low,M,47,1954,1
351,1,Ship,B55515886,4,5,188,3,low,F,13,2409,1
352,2,Ship,D40566649,5,5,171,2,medium,F,22,1695,1
353,3,Ship,Q15634590,2,2,267,3,medium,M,15,2481,1
354,5,Ship,S21891537,4,3,255,2,high,M,47,2956,1
355,4,Ship,E44759389,3,2,132,3,low,F,56,1303,1
356,5,Ship,W37927833,5,1,266,3,low,F,31,3157,1
357,1,Ship,E40645124,3,4,198,2,low,M,25,2774,1
358,2,Ship,L17685822,2,3,247,2,medium,F,62,3127,1
359,3,Ship,A35536329,3,1,140,3,medium,F,65,1291,1
360,5,Ship,X18881229,4,3,131,5,low,M,6,1659,1
361,4,Ship,D15211187,5,2,246,3,medium,M,49,3236,1
362,5,Ship,F31721765,3,2,159,3,medium,F,4,1681,1
363,1,Ship,E14249070,3,5,203,2,medium,M,61,3642,1
364,2,Ship,R59532794,4,3,187,4,high,F,29,3141,1
365,3,Ship,W59429116,6,2,146,3,low,F,62,1936,1
366,5,Ship,P47885014,3,2,234,3,medium,M,39,2099,1
367,4,Ship,Y31144972,3,4,122,3,high,F,15,1354,1
368,5,Ship,T43482773,3,3,135,3,low,M,8,1074,1
369,1,Ship,G29575412,3,5,103,3,low,M,3,1403,1
370,2,Ship,V36589947,3,5,257,3,medium,F,19,,1
371,3,Ship,B36220433,4,3,169,2,low,M,2,1399,1
372,5,Ship,C41477451,4,5,159,3,medium,M,18,1808,1
373,4,Ship,N40055808,4,5,188,3,low,M,38,3031,1
374,5,Ship,X31031763,5,1,136,3,medium,M,19,1420,1
375,1,Ship,K56833016,5,1,227,3,low,F,19,3007,1
376,2,Ship,L43687830,3,5,262,2,low,F,53,3275,1
377,3,Ship,E37727396,2,3,157,2,low,M,45,1965,1
378,5,Ship,D35819322,5,3,238,2,medium,F,21,2053,1
379,4,Ship,P47739447,3,5,152,3,low,M,43,1282,1
380,5,Ship,O52278533,3,2,201,3,medium,M,5,2040,1
381,1,Ship,C21755527,3,4,148,2,low,M,54,1778,1
382,2,Ship,S11840997,5,2,199,4,low,F,59,2885,1
383,3,Ship,I18186259,5,4,215,2,low,F,45,3501,1
384,5,Ship,M38099947,4,5,175,2,low,M,40,1270,1
385,4,Road,B25180979,4,3,236,2,high,M,23,3123,1
386,5,Road,D52364836,2,5,182,2,medium,F,57,2896,1
387,1,Road,Q39140014,3,1,251,3,medium,M,42,3698,1
388,2,Road,S57092063,5,2,173,3,low,F,7,1855,1
389,3,Road,E56261170,4,3,225,3,low,F,62,2587,1
390,5,Road,W23788118,4,2,167,4,low,F,20,1705,1
391,4,Road,E54724780,4,1,259,3,low,M,20,2154,1
392,5,Road,L36615772,4,1,178,3,medium,F,63,1573,1
393,1,Road,A47779937,4,4,178,4,medium,F,13,1614,1
394,2,Road,X13596233,5,4,169,2,low,F,20,1765,1
395,3,Road,D16348344,3,2,272,2,low,M,33,2321,1
396,5,Road,F44676573,4,4,183,3,low,M,29,3251,1
397,4,Road,E33882156,3,4,205,3,low,F,10,2728,1
398,5,Road,R26077732,2,1,123,4,low,F,53,1036,1
399,1,Road,W17570712,4,3,152,3,low,M,58,1453,1
400,2,Road,P36150165,3,1,220,2,high,F,40,3773,1
401,3,Road,Y39261736,4,3,134,3,low,M,51,1965,1
402,5,Road,T19029486,3,2,217,2,high,M,19,2992,1
403,4,Road,G48134563,3,2,265,3,low,F,49,2791,1
404,5,Road,V10661511,4,2,249,5,medium,M,36,3836,1
405,1,Road,B20222851,5,3,213,4,medium,F,50,2003,1
406,2,Road,C39183035,2,2,124,3,low,F,56,1494,1
407,3,Flight,N41964370,4,1,180,2,low,M,23,1193,1
408,5,Flight,X31160641,4,5,193,3,medium,M,65,2267,1
409,4,Flight,K14330866,3,2,192,3,medium,M,43,3339,1
410,5,Flight,L47519481,2,5,166,3,medium,M,3,1832,1
411,1,Flight,E37751586,3,2,264,3,medium,M,5,3861,1
412,2,Flight,D43658144,3,4,200,2,medium,M,14,3528,1
413,3,Flight,P50331354,4,3,142,4,medium,M,12,1396,1
414,5,Flight,O52786218,4,1,215,2,low,M,32,3066,1
415,4,Flight,C38599435,2,1,218,2,low,M,15,2745,1
416,5,Flight,S54493857,3,2,115,3,low,F,27,1814,1
417,1,Flight,I39603322,4,3,159,3,low,M,33,1330,1
418,2,Flight,M58792080,5,5,133,3,low,M,63,1218,1
419,3,Flight,B13826050,5,2,178,3,low,M,48,1517,1
420,5,Flight,D28249316,4,2,134,2,low,F,43,1714,1
421,4,Flight,Q19822301,3,1,184,5,medium,F,58,2544,1
422,5,Flight,S54268887,4,2,251,2,medium,M,24,2405,1
423,1,Flight,E51789389,3,2,141,3,low,M,7,1933,1
424,2,Flight,W15458120,4,4,229,2,medium,M,45,3776,1
425,3,Flight,E30631224,4,1,203,4,low,M,34,3813,1
426,5,Flight,L42358856,4,3,158,3,medium,F,57,1911,1
427,4,Flight,A39509279,3,4,167,3,medium,M,52,1755,1
